discente,media_final,numero_total_faltas,descricao
c456ec5295845b6c7bbece586bb6ea87,9.0,0.0,NÃO PRESENTE
fc1301a86464788f5560df27eaa66def,10.0,0.0,APROVADO POR NOTA
75dbffca7b2d29d3e5b70417dd8a34d8,0.6,0.0,NÃO PRESENTE
9bfd982e842858e89f750f9779b7e246,0.0,0.0,NÃO PRESENTE
7f7e6b96c9a901a9894dbadfc7012261,3.9,0.0,NÃO PRESENTE
320c9f21b9bfd0840fd6b2cecfb0767e,7.3,0.0,NÃO PRESENTE
08e5b1d4df53b996e32ca0db193daa89,8.3,0.0,NÃO PRESENTE
25498a2ee0d5fa062e181d92fef57d06,5.4,0.0,NÃO PRESENTE
edac06c3e3795f352cf6390b35f274cd,5.6,0.0,NÃO PRESENTE
84b994182d3e90a9793606a297ffd37f,2.8,0.0,NÃO PRESENTE
034a1bd35a241400cec8a2268261f8a0,2.5,0.0,NÃO PRESENTE
b600022d18e56fce325ba9150d9b4415,1.2,0.0,NÃO PRESENTE
c35b3ab13792a98dbc17c25e0070fac3,1.2,0.0,NÃO PRESENTE
5e925b6d72c4fb74597d63a7d0572591,5.6,0.0,NÃO PRESENTE
14acbe97ed3f5e0c32de0f02f2023d01,5.0,0.0,NÃO PRESENTE
49e3ae02378422d15ba608548be9d81c,6.2,0.0,NÃO PRESENTE
c1fed20ade974eb4ac1d57b9ce661dae,5.2,0.0,NÃO PRESENTE
a26dbc894d8a36c8645609808ae34a34,6.3,0.0,NÃO PRESENTE
7ab8b4fc5fdf36127a12426ca3e7cd04,6.6,0.0,NÃO PRESENTE
053498cf4f5cbc46783b986675a2bca8,5.0,0.0,NÃO PRESENTE
e086e139d367cb932d8852056bf55d52,0.0,70.0,NÃO PRESENTE
e7f6da1743a3ad5fec079580d02abaa0,8.3,0.0,NÃO PRESENTE
fa00a633c19c2015bd59d74b24407075,6.8,0.0,REPROVADO
fe987f2702dc8b51d754e8915f73b5fc,9.2,0.0,NÃO PRESENTE
3acd950c3817c22bc9b00a1ad7e1f09a,0.0,70.0,NÃO PRESENTE
966f1c492934e83aa4159824a1e7b507,5.0,0.0,NÃO PRESENTE
